제조사,모델,매물수,최저(P10),P25,중앙값(P50),P75,최고(P90),중앙주행km,중앙연식,평균잔존율
KG모빌리티(쌍용),티볼리 에어,471,550,650,830,1050,1390,98470,2017,39.0
기아,더 뉴 셀토스,470,1950,2282,2490,2780,3300,26841,2024,93.4
기아,스포티지 더 볼드,468,1260,1399,1590,1750,1890,93493,2019,60.2
현대,더 뉴 아반떼,460,429,490,579,659,739,112146,2015,31.7
KG모빌리티(쌍용),코란도 스포츠,458,386,470,585,699,850,143778,2015,23.7
아우디,A6 (C8),451,2760,2990,3440,3890,4420,54245,2021,48.1
KG모빌리티(쌍용),뷰티풀 코란도,443,1052,1299,1499,1690,1878,62683,2021,56.7
기아,더 K9,442,1599,1850,2190,2550,2888,117414,2019,34.3
기아,더 뉴 모하비,432,981,1280,1490,1690,1917,146812,2017,31.6
KG모빌리티(쌍용),더 뉴 렉스턴 스포츠,423,1790,1999,2290,2570,2848,54698,2022,69.3
현대,더 뉴 아반떼 AD,422,890,1020,1190,1300,1420,86286,2019,69.2
기아,더 뉴 K3 2세대,418,1299,1462,1699,1990,2390,56115,2022,84.9
KG모빌리티(쌍용),올 뉴 렉스턴,412,2152,2430,2690,2890,3100,70146,2021,58.9
기아,K5 2세대,407,595,699,850,965,1093,127932,2016,34.1
현대,그랜저 하이브리드 (GN7),407,2840,3190,3650,4090,4370,39106,2023,73.5
현대,쏘나타 뉴 라이즈,400,790,915,1135,1350,1481,117540,2018,45.6
벤츠,C-클래스 W205,397,1350,1590,1920,2580,3228,82383,2018,35.4
기아,K8 하이브리드,387,2282,2499,2800,3125,3424,67626,2023,65.4
포르쉐,카이엔 (PO536),385,6686,7899,9500,11900,14990,46883,2022,78.0
기아,더 뉴 K7,381,450,500,590,699,830,145000,2014,20.2
KG모빌리티(쌍용),G4 렉스턴,380,1120,1287,1470,1692,1950,111540,2018,37.0
기아,모하비,380,530,650,789,949,1090,181673,2014,18.0
현대,엑센트(신형),372,320,399,470,562,690,114421,2014,34.1
기아,EV6,371,2350,2699,3110,3460,3670,73243,2022,52.4
BMW,X5 (G05),367,5499,6275,7280,9630,12300,50067,2022,67.8
현대,제네시스,362,360,420,499,650,750,150974,2012,10.5
기아,K5,362,349,390,450,530,599,145220,2012,18.8
KG모빌리티(쌍용),티볼리 아머,356,650,780,950,1080,1190,81545,2018,43.5
기아,카니발 R,347,310,370,437,499,599,163150,2013,15.3
기아,모닝 어반 (JA),346,854,1050,1160,1290,1450,41646,2021,83.4
현대,베뉴,345,1220,1390,1550,1790,2196,53120,2021,81.2
BMW,X6 (G06),332,5641,6300,7460,9800,12240,45816,2022,65.7
BMW,X7 (G07),331,6650,7250,8440,11500,13432,54171,2022,64.7
