매물ID,제조사,모델,등급,연식,주행km,연료,차체,시도,판매가,잔존율
41133109,현대,싼타페 TM,가솔린 2.0T 4WD,2020.0,126073.0,가솔린,SUV,서울,1799.0,51.9
41445621,현대,싼타페 TM,디젤 2.0 2WD,2020.0,59749.0,디젤,SUV,서울,2200.0,62.4
41568519,현대,코나,1.6 터보 2WD,2019.0,41705.0,가솔린,SUV,서울,1750.0,80.1
41655929,현대,더 뉴 그랜저 IG,3.0 LPi (렌터카용),2022.0,50305.0,LPG(일반인 구입),대형차,서울,2230.0,69.8
41054452,현대,그랜저 HG,HG330 셀러브리티,2012.0,70293.0,가솔린,대형차,서울,860.0,20.1
41217328,현대,그랜저 HG,HG240 모던,2016.0,92172.0,가솔린,대형차,서울,1050.0,35.8
41605284,현대,제네시스,BH330 그랜드,2012.0,158024.0,가솔린,대형차,서울,500.0,10.8
39992050,현대,그랜저 (GN7),2.5 가솔린 2WD,2023.0,52823.0,가솔린,대형차,서울,2190.0,58.9
40953739,현대,싼타페 TM,가솔린 2.0T 4WD,2019.0,68897.0,가솔린,SUV,서울,2299.0,62.0
41757389,현대,LF 쏘나타,2.0 스마트,2015.0,86093.0,가솔린,중형차,서울,950.0,37.3
41159564,현대,아반떼 (CN7),1.6,2021.0,57581.0,가솔린,준중형차,서울,1670.0,87.9
41721924,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,2013.0,113879.0,디젤,SUV,서울,990.0,34.1
41772785,현대,더 뉴 그랜저 IG 하이브리드,프리미엄,2022.0,41946.0,가솔린+전기,대형차,서울,2790.0,73.0
41159577,현대,더 뉴 팰리세이드,디젤 2.2 2WD,2023.0,45983.0,디젤,SUV,서울,3890.0,74.5
41699104,현대,팰리세이드,가솔린 3.8 2WD,2022.0,53179.0,가솔린,SUV,서울,2910.0,70.8
41467238,현대,캐스퍼,모던,2022.0,72124.0,가솔린,경차,서울,1230.0,77.4
39818433,현대,에쿠스(신형),VS500,2013.0,111536.0,가솔린,대형차,서울,930.0,8.3
41286913,현대,제네시스,BH330 그랜드,2009.0,80732.0,가솔린,대형차,서울,430.0,10.1
41640933,현대,제네시스,BH330 럭셔리,2012.0,93270.0,가솔린,대형차,서울,670.0,12.4
40369783,현대,제네시스,BH380 로얄,2009.0,182396.0,가솔린,대형차,서울,380.0,6.6
41819947,현대,그랜저 하이브리드 (GN7),익스클루시브,2026.0,2661.0,가솔린+전기,대형차,서울,4180.0,86.3
41059263,현대,그랜드 스타렉스,3인승 LPi 밴,2010.0,264532.0,LPG(일반인 구입),승합차,서울,760.0,45.1
41427505,현대,그랜저 (GN7),2.5 가솔린 2WD,2023.0,43365.0,가솔린,대형차,서울,4500.0,97.7
41508222,현대,팰리세이드,디젤 2.2 2WD,2020.0,61106.0,디젤,SUV,서울,2590.0,62.0
41755950,현대,더 뉴 맥스크루즈,가솔린 3.3 2WD,2018.0,201855.0,가솔린,SUV,서울,990.0,30.3
39524272,현대,그랜저 HG 하이브리드,프리미엄,2015.0,113671.0,가솔린+전기,대형차,서울,1190.0,33.1
41427352,현대,그랜저 (GN7),2.5 가솔린 2WD,2023.0,52682.0,가솔린,대형차,서울,3900.0,105.0
41834514,현대,스타리아,카고 5인승,2025.0,30922.0,디젤,승합차,서울,2720.0,87.5
